yr,mn,avg_close,last_year_close,yoy_diff,yoy_pct_change
2019,1,45.922504243396574,NULL,NULL,NULL
2019,2,48.47755833675987,NULL,NULL,NULL
2019,3,48.719171796526226,NULL,NULL,NULL
2019,4,49.87266195388067,NULL,NULL,NULL
2019,5,49.61270158941095,NULL,NULL,NULL
2019,6,50.66503639221192,NULL,NULL,NULL
2019,7,50.503755742853336,NULL,NULL,NULL
2019,8,44.91130950234153,NULL,NULL,NULL
2019,9,45.98850765228271,NULL,NULL,NULL
2019,10,46.60696377961532,NULL,NULL,NULL
2019,11,47.843767929077146,NULL,NULL,NULL
2019,12,47.17698542277018,NULL,NULL,NULL
2020,1,47.190946124848864,45.922504243396574,1.26844188145229,2.7621356943631525
2020,2,40.846818823563424,48.47755833675987,-7.6307395131964455,-15.74076701674589
2020,3,27.706929033452813,48.719171796526226,-21.012242763073413,-43.129310265844104
2020,4,29.70504579089937,49.87266195388067,-20.167616162981304,-40.43821880137687
2020,5,26.90444173812866,49.61270158941095,-22.708259851282293,-45.77106088520084
2020,6,29.088889122009277,50.66503639221192,-21.57614727020264,-42.58587145418347
2020,7,27.2350360696966,50.503755742853336,-23.268719673156735,-46.07324610001789
2020,8,25.932737986246746,44.91130950234153,-18.978571516094785,-42.257889441200334
2020,9,23.167272567749023,45.98850765228271,-22.82123508453369,-49.62377830801587
2020,10,21.356614979830656,46.60696377961532,-25.250348799784664,-54.177201757194304
2020,11,27.035032081604005,47.843767929077146,-20.80873584747314,-43.49309585800116
2020,12,31.394630085338246,47.17698542277018,-15.782355337431934,-33.453505339521996
2021,1,33.73320368716591,47.190946124848864,-13.457742437682953,-28.517636417119096
2021,2,33.463413640072474,40.846818823563424,-7.38340518349095,-18.07583894203204
2021,3,36.17268487681513,27.706929033452813,8.46575584336232,30.55465235118959
2021,4,33.64347494216192,29.70504579089937,3.9384291512625538,13.25845170879742
2021,5,34.35234470367432,26.90444173812866,7.447902965545659,27.68280062466629
2021,6,35.30332218516957,29.088889122009277,6.214433063160293,21.363597066545655
2021,7,34.452423095703125,27.2350360696966,7.217387026006524,26.500376234261857
2021,8,35.243207931518555,25.932737986246746,9.310469945271809,35.90237926365336
2021,9,36.26034164428711,23.167272567749023,13.093069076538086,56.51536683159175
2021,10,41.90812101818266,21.356614979830656,20.551506038352006,96.23016595917002
2021,11,39.41433643159412,27.035032081604005,12.379304349990118,45.78986373170839
2021,12,38.60790252685547,31.394630085338246,7.213272441517223,22.97613452335572
2022,1,43.42722988128662,33.73320368716591,9.69402619412071,28.737342245998672
2022,2,47.83053147165399,33.463413640072474,14.367117831581517,42.93380820651506
2022,3,46.75398967577063,36.17268487681513,10.5813047989555,29.252196332646523
2022,4,49.49367694854736,33.64347494216192,15.850202006385437,47.11226183869016
2022,5,51.39279955909366,34.35234470367432,17.04045485541934,49.60492508564255
2022,6,49.56167856852213,35.30332218516957,14.258356383352563,40.38814338369067
2022,7,44.19852981567383,34.452423095703125,9.746106719970705,28.288595820670242
2022,8,48.12505340576172,35.243207931518555,12.881845474243164,36.55128528388792
2022,9,46.81498300461542,36.26034164428711,10.554641360328311,29.107947916953
2022,10,47.61990810575939,41.90812101818266,5.711787087576731,13.629308470066123
2022,11,51.047761644635884,39.41433643159412,11.633425213041761,29.515720081276132
2022,12,51.844869886125835,38.60790252685547,13.236967359270366,34.285642298394215
2023,1,53.13262882232666,43.42722988128662,9.705398941040038,22.348648457594173
2023,2,55.220931002968236,47.83053147165399,7.3903995313142445,15.451217671904919
2023,3,53.72489862856658,46.75398967577063,6.970908952795945,14.90976278417687
2023,4,56.35848537244295,49.49367694854736,6.864808423895589,13.87007158718902
2023,5,55.35228711908514,51.39279955909366,3.95948755999148,7.704362467039163
2023,6,55.121332077752974,49.56167856852213,5.5596535092308415,11.21764570896095
2023,7,57.04945545196533,44.19852981567383,12.8509256362915,29.07545950031637
2023,8,57.51772175664487,48.12505340576172,9.392668350883149,19.51721127806296
2023,9,60.438050270080566,46.81498300461542,13.623067265465146,29.099801796621538
2023,10,62.15288162231445,47.61990810575939,14.53297351655506,30.518692905241807
2023,11,62.3053834097726,51.047761644635884,11.257621765136719,22.05311536185578
2023,12,61.60442199707031,51.844869886125835,9.759552110944476,18.82452812087435
2024,1,60.11487760997954,53.13262882232666,6.982248787652878,13.141169451640033
2024,2,60.73525886535644,55.220931002968236,5.514327862388207,9.985937872166263
2024,3,62.885680770874025,53.72489862856658,9.160782142307447,17.05127859922379
2024,4,68.89086289839311,56.35848537244295,12.53237752595016,22.23689555020936
2024,5,69.70332267067649,55.35228711908514,14.351035551591345,25.92672552213871
2024,6,68.22481255782277,55.121332077752974,13.103480480069798,23.772067883966063
2024,7,70.38867118141867,57.04945545196533,13.339215729453343,23.38184584546076
2024,8,70.11475164240056,57.51772175664487,12.597029885755695,21.90112803676963
2024,9,66.23451805114746,60.438050270080566,5.7964677810668945,9.59075905851383
2024,10,65.95611422994862,62.15288162231445,3.803232607634172,6.119157323622329
2024,11,65.2466884613037,62.3053834097726,2.9413050515311028,4.720787981010577
2024,12,62.12974257696243,61.60442199707031,0.5253205798921172,0.852731935245005
2025,1,64.79241863049958,60.11487760997954,4.677541020520046,7.781003981855463
