Date,Brent_Close,prev_brent,daily_change
2019-09-16,69.0199966430664,60.220001220703125,8.799995422363281
2022-03-17,106.63999938964844,98.0199966430664,8.620002746582031
2022-03-02,112.93000030517578,104.97000122070312,7.959999084472656
2022-03-21,115.62000274658205,107.93000030517578,7.690002441406264
2022-03-04,118.11000061035156,110.45999908447266,7.650001525878906
2022-04-12,104.63999938964844,98.4800033569336,6.159996032714844
2022-03-23,121.5999984741211,115.4800033569336,6.1199951171875
2020-04-02,29.940000534057617,24.739999771118164,5.200000762939453
2022-05-04,110.13999938964844,104.97000122070312,5.1699981689453125
2023-04-03,84.93000030517578,79.7699966430664,5.160003662109375
