Date,Close,prev_close,daily_change
2020-03-24,26.624855041503903,22.246803283691406,4.3780517578124964
2020-04-02,32.304710388183594,29.278223037719727,3.026487350463867
2020-11-09,25.57609748840332,22.56415748596192,3.011940002441399
2023-11-02,64.48895263671875,61.51616287231445,2.972789764404297
2023-04-03,55.78976058959961,53.05144119262695,2.7383193969726562
2022-03-02,48.5671501159668,46.032981872558594,2.534168243408203
2022-10-27,50.71026992797852,48.26575469970703,2.4445152282714915
2020-04-17,29.419178009033203,27.031147003173828,2.388031005859375
2022-02-25,48.20258331298828,45.8729248046875,2.3296585083007812
2022-10-03,47.37847900390625,45.0516471862793,2.326831817626953
