Date,WTI_Close,prev_wti,daily_change
2020-04-21,10.010000228881836,-37.630001068115234,47.64000129699707
2019-09-16,62.900001525878906,54.84999847412109,8.05000305175782
2022-03-04,115.68000030517578,107.66999816894533,8.010002136230455
2022-03-17,102.9800033569336,95.04000091552734,7.94000244140625
2022-03-01,103.41000366210938,95.72000122070312,7.69000244140625
2022-03-21,112.12000274658205,104.6999969482422,7.420005798339844
2022-03-02,110.5999984741211,103.41000366210938,7.189994812011719
2022-04-12,100.5999984741211,94.29000091552734,6.30999755859375
2022-05-11,105.70999908447266,99.76000213623048,5.949996948242173
2022-05-04,107.80999755859376,102.41000366210938,5.399993896484389
